ip,timestamp,method,url,status,response_size
jarrett-mac.mac.cc.cmu.edu,01/Aug/1995:08:39:29 -0400,GET,/history/apollo/sa-9/sa-9-patch-small.gif,404,
jarrett-mac.mac.cc.cmu.edu,01/Aug/1995:08:39:34 -0400,GET,/history/apollo/sa-9/images/,404,
jarrett-mac.mac.cc.cmu.edu,01/Aug/1995:08:39:39 -0400,GET,/history/apollo/sa-9/sa-9-patch-small.gif,404,
jarrett-mac.mac.cc.cmu.edu,01/Aug/1995:08:39:49 -0400,GET,/history/apollo/sa-9/news/,404,
jarrett-mac.mac.cc.cmu.edu,01/Aug/1995:08:39:53 -0400,GET,/history/apollo/sa-9/sa-9-patch-small.gif,404,
chrism.tmx.com.au,01/Aug/1995:08:44:13 -0400,GET,/pub/winvn/readme.txt,404,
chrism.tmx.com.au,01/Aug/1995:08:44:28 -0400,GET,/pub/winvn/release.txt,404,
firewall.deere.com,01/Aug/1995:08:45:34 -0400,GET,/pub/winvn/readme.txt,404,
firewall.deere.com,01/Aug/1995:08:45:42 -0400,GET,/pub/winvn/release.txt,404,
zang.slip.lm.com,01/Aug/1995:08:54:05 -0400,GET,/shuttle/missions/technology/sts-newsref/stsref-toc.html,404,
gikai.eng.nhk.or.jp,01/Aug/1995:08:56:22 -0400,GET,/elv/DELTA/uncons.htm,404,
gikai.eng.nhk.or.jp,01/Aug/1995:08:57:05 -0400,GET,/elv/DELTA/uncons.htm,404,
n1121986.ksc.nasa.gov,01/Aug/1995:09:04:38 -0400,GET,/nws/public,404,
orchid.gsfc.nasa.gov,01/Aug/1995:09:31:33 -0400,GET,/missions/missions.html,404,
alta.atk.com,01/Aug/1995:09:36:23 -0400,GET,/elv/DELTA/uncons.htm,404,
alta.atk.com,01/Aug/1995:09:36:30 -0400,GET,/elv/DELTA/uncons.htm,404,
huge.oso.chalmers.se,01/Aug/1995:09:41:40 -0400,GET,/elv/new01.gif,404,
163.205.156.16,01/Aug/1995:09:42:01 -0400,GET,/elv/new01.gif,404,
cpq63-rz.uibk.ac.at,01/Aug/1995:09:43:13 -0400,GET,/pub/winvn/readme.txt,404,
zang.slip.lm.com,01/Aug/1995:09:45:19 -0400,GET,/shuttle/technology/images/sts-comm-small.gif,404,
zang.slip.lm.com,01/Aug/1995:09:52:25 -0400,GET,/shuttle/technology/images/sts-comm-small.gif,404,
zang.slip.lm.com,01/Aug/1995:09:55:59 -0400,GET,/shuttle/technology/images/sts-comm.jpg,404,
zang.slip.lm.com,01/Aug/1995:09:58:24 -0400,GET,/shuttle/technology/images/sts-comm-small.gif,404,
urania.harvard.edu,01/Aug/1995:10:02:07 -0400,GET,/shuttle/technology/sts-newsref/spacelab,404,
bond.mc.duke.edu,01/Aug/1995:10:08:49 -0400,GET,/pub/winvn/release.txt,404,
128.158.42.193,01/Aug/1995:10:10:00 -0400,GET,/pub,404,
128.158.42.193,01/Aug/1995:10:10:12 -0400,GET,/pub,404,
128.158.42.193,01/Aug/1995:10:10:19 -0400,GET,/pub,404,
mcneill.earthlink.net,01/Aug/1995:10:24:17 -0400,GET,/pub/winvn/readme.txt,404,
ghall2.dentistry.dal.ca,01/Aug/1995:10:31:47 -0400,GET,/pub/winvn/release.txt,404,
ghall2.dentistry.dal.ca,01/Aug/1995:10:32:00 -0400,GET,/pub/winvn/readme.txt,404,
dialup97-124.swipnet.se,01/Aug/1995:10:36:11 -0400,GET,/shuttle/resources/orbiters/discovery.gif,404,
stuckeyj.tulsa.k12.ok.us,01/Aug/1995:10:36:13 -0400,GET,/pub/winvn/readme.txt,404,
vagrant.vf.mmc.com,01/Aug/1995:10:38:00 -0400,GET,/elv/DELTA/uncons.htm,404,
194.166.7.30,01/Aug/1995:10:40:35 -0400,GET,/pub/winvn/release.txt,404,
194.166.7.30,01/Aug/1995:10:41:04 -0400,GET,/pub/winvn/readme.txt,404,
163.205.180.58,01/Aug/1995:10:43:07 -0400,GET,/usopenofsurfing.com/florida,404,
winer-ibm.cit.buffalo.edu,01/Aug/1995:10:46:06 -0400,GET,/images/spaceport-logo.gif,404,
147.74.41.186,01/Aug/1995:10:48:23 -0400,GET,/shuttle/missions/sts-68/ksc-upclose.gif,404,
pike.cse.bris.ac.uk,01/Aug/1995:10:53:51 -0400,GET,/history/apollo/sa-1/sa-1-patch-small.gif,404,
128.217.63.38,01/Aug/1995:10:54:50 -0400,GET,/ksc.html0.,404,
128.217.63.38,01/Aug/1995:11:00:37 -0400,GET,/ksc.html0.,404,
163.205.16.75,01/Aug/1995:11:08:28 -0400,GET,/SDG/Experimental/demoweb/return.gif,404,
ariel.mit.edu,01/Aug/1995:11:15:11 -0400,GET,/shuttle/missioins/sts-70/movies/,404,
lgbppp8.uni-c.dk,01/Aug/1995:11:21:31 -0400,GET,/elv/DELTA/uncons.htm,404,
lgbppp8.uni-c.dk,01/Aug/1995:11:21:37 -0400,GET,/elv/DELTA/uncons.htm,404,
138.49.251.34,01/Aug/1995:11:23:56 -0400,GET,/shuttle/missions-sts-49.html,404,
ariel.mit.edu,01/Aug/1995:11:25:54 -0400,GET,/shuttle/missioins/sts-70/movies/,404,
198.213.130.253,01/Aug/1995:11:31:27 -0400,GET,/ksclogo.gif,404,
198.213.130.253,01/Aug/1995:11:32:11 -0400,GET,/.ksc.nasa.gov/images/ksclogo.gif,404,
198.213.130.253,01/Aug/1995:11:32:52 -0400,GET,/ksclogo-medium.gif,404,
198.213.130.253,01/Aug/1995:11:33:41 -0400,GET,/ksc.nasa.gov/images/ksclogo-medium.gif,404,
ink.ink.org,01/Aug/1995:11:45:59 -0400,GET,/people/nasa-cm/jmd.html,404,
dialup12.leuven.eunet.be,01/Aug/1995:11:51:27 -0400,GET,/shuttle/missions/sts-69/images/KSC-95EC-1014.gif,404,
